Org,Site ID,Name in EC,Latitude,Longitude,Watercourse (if known),"Catchment (or ""tbc"")"
CPRE,CPRE001,CPRE001: Cheaton Brook at Tick Bridge,52.220489,-2.706562,Cheaton/Whyle Brook,Cheaton Bk - source to conf R Lugg
CPRE,CPRE002,CPRE002: Cheaton Whyle brook at Flitlock farm bridge,52.229387,-2.665361,Cheaton/Whyle Brook,Cheaton Bk - source to conf R Lugg
CPRE,CPRE003,CPRE003: Cheaton/Whyle Brook at Whyle Mill,52.243619,-2.656803,Cheaton/Whyle Brook,Cheaton Bk - source to conf R Lugg
CPRE,CPRE004,CPRE004: Cheaton/Whyle Brook at Cockspur coppice,52.255498,-2.618747,Cheaton/Whyle Brook,Cheaton Bk - source to conf R Lugg
CPRE,CPRE005,CPRE005: Cogwell Brook at Stockton Bury Bridge,52.242028,-2.710431,Cogwell Brook,Cheaton Bk - source to conf R Lugg
CPRE,CPRE006,CPRE006: Cogwell Brook at Hawthorn,52.261411,-2.697126,Cogwell Brook,Cheaton Bk - source to conf R Lugg
CPRE,CPRE007,CPRE007: Pinsley Brook at Waterloo Mill Bridge,52.24057,-2.80564,Pinsley Brook,Pinsley Bk - source to conf R Lugg
CPRE,CPRE008,CPRE008: Lugg Byton Bridge,52.276094,-2.934884,Lugg,Lugg - conf Norton Bk to conf R Arrow
CPRE,CPRE009,CPRE009: River Lugg@ kingsland,52.254528,-2.809167,Lugg,Lugg - conf Norton Bk to conf R Arrow
CPRE,CPRE010,CPRE010: Honeylake Brook @ Ivington Bridge,52.20632,-2.768966,Honeylake Brook,Honeylake Bk - source to conf Little Arrow
CPRE,CPRE011,CPRE011: River Arrow at Ivington Bridge,52.209434,-2.770553,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE012,CPRE012: Stretford Brook at Venmore Bridge,52.189978,-2.821506,Stretford Brook,Stretford Bk - source to conf R Arrow
CPRE,CPRE013,CPRE013: Honeylake Brook at Birley Bridge,52.176552,-2.799541,Honeylake Brook,Honeylake Bk - source to conf Little Arrow
CPRE,CPRE014,CPRE014: River Arrow at Hay Bridge Eardisland,52.224295,-2.856533,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE015,CPRE015: River Arrow at the Leen Pembridge,52.225345,-2.906448,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE016,CPRE016: River Arrow @Titley Mill,52.220598,-2.984061,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
